QName,DimName,EleName
"_SysCost","Attribute","Reg_obj"
"All costs","Attribute","Cost_Flox"
"All costs","Attribute","Cost_ire"
"All costs","Attribute","Cost_Inv"
"All costs","Attribute","Cost_Comx"
"All costs","Attribute","Cost_Els"
"All costs","Attribute","Cost_Flo"
"All costs","Attribute","Cost_Act"
"All costs","Attribute","Cost_Salv"
"All costs","Attribute","Cost_Fom"
"Annual Technology Costs","Attribute","Cost_Inv"
"Annual Technology Costs","Attribute","Cost_ire"
"Annual Technology Costs","Attribute","Cost_Fom"
"Check Dummy Imports","Attribute","VAR_fout"
"Check Dummy Imports","ProcessSet","DUMIMP"
"Consumption by Sector","Attribute","VAR_FOut"
"Consumption by Sector","ProcessSet","FUEL_TRA"
"Consumption by Sector","ProcessSet","FUEL_RSD"
"Consumption by Sector","ProcessSet","FUEL_AGR"
"Consumption by Sector","ProcessSet","FUEL_COM"
"Consumption by Sector","ProcessSet","FUEL_IND"
"Consumption by Sector and fuel","Attribute","VAR_FOut"
"Consumption by Sector and fuel","CommoditySet","NRG_GAS"
"Consumption by Sector and fuel","CommoditySet","NRG_MISS"
"Consumption by Sector and fuel","CommoditySet","NRG_ELC"
"Consumption by Sector and fuel","CommoditySet","NRG_NUK"
"Consumption by Sector and fuel","CommoditySet","NRG_PP"
"Consumption by Sector and fuel","CommoditySet","NRG_SOLID"
"Consumption by Sector and fuel","CommoditySet","NRG_RNW"
"Consumption by Sector and fuel","ProcessSet","FUEL_IND"
"Consumption by Sector and fuel","ProcessSet","FUEL_AGR"
"Consumption by Sector and fuel","ProcessSet","FUEL_TRA"
"Consumption by Sector and fuel","ProcessSet","FUEL_RSD"
"Consumption by Sector and fuel","ProcessSet","FUEL_COM"
"Demands","Attribute","VAR_FOut"
"Demands","CommoditySet","DEM"
"ELC Fuel Consumption by Plant Type","Attribute","VAR_FIn"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELEOIL"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELEWIN"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELEHYD"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELENUC"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELEGAS"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELESOL"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELECOA"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELEBIO"
"ELC Fuel Consumption by Plant Type","ProcessSet","ELERNW"
"ELC Plants Capacity","Attribute","VAR_Cap"
"ELC Plants Capacity","ProcessSet","ELEWIN"
"ELC Plants Capacity","ProcessSet","ELEGAS"
"ELC Plants Capacity","ProcessSet","ELENUC"
"ELC Plants Capacity","ProcessSet","ELEOIL"
"ELC Plants Capacity","ProcessSet","ELERNW"
"ELC Plants Capacity","ProcessSet","ELESOL"
"ELC Plants Capacity","ProcessSet","ELEBIO"
"ELC Plants Capacity","ProcessSet","ELECOA"
"ELC Plants Capacity","ProcessSet","ELEHYD"
"ELC Plants New Capacity","attribute","Cost_Inv"
"ELC Plants New Capacity","attribute","VAR_Ncap"
"ELC Plants New Capacity","processset","ELECOA"
"ELC Plants New Capacity","processset","ELEWIN"
"ELC Plants New Capacity","processset","ELEBIO"
"ELC Plants New Capacity","processset","ELESOL"
"ELC Plants New Capacity","processset","ELEGAS"
"ELC Plants New Capacity","processset","ELEHYD"
"ELC Plants New Capacity","processset","ELENUC"
"ELC Plants New Capacity","processset","ELEOIL"
"ELC Plants Production","attribute","VAR_Act"
"ELC Plants Production","processset","ELEWIN"
"ELC Plants Production","processset","ELESOL"
"ELC Plants Production","processset","ELEOIL"
"ELC Plants Production","processset","ELEBIO"
"ELC Plants Production","processset","ELENUC"
"ELC Plants Production","processset","ELECOA"
"ELC Plants Production","processset","ELEHYD"
"ELC Plants Production","processset","ELEGAS"
"ELC Production by Fuel Group","Attribute","VAR_FOut"
"ELC Production by Fuel Group","CommoditySet","NRG"
"ELC Production by Fuel Group","ProcessSet","PP_FOSSIL"
"ELC Production by Fuel Group","ProcessSet","PP_NUCLEAR"
"ELC Production by Fuel Group","ProcessSet","PP_RENEW"
"ELC Production by Fuel Group","ProcessSet","PP_OTHER"
"Emissions by Sector","Attribute","VAR_FOut"
"Emissions by Sector","Commodity","COMCO2"
"Emissions by Sector","Commodity","INDCO2"
"Emissions by Sector","Commodity","TRACO2"
"Emissions by Sector","Commodity","RSDCO2"
"Emissions by Sector","Commodity","ELCCO2"
"Emissions by Sector","Commodity","AGRCO2"
"Emissions by Sector","CommoditySet","ENV"
"EQ_Peak","Attribute","EQ_Peak"
"EQ_Peak","Attribute","EQ_PeakM"
"Finished Steel Production","Attribute","VAR_FIn"
"Finished Steel Production","Attribute","VAR_FOut"
"Finished Steel Production","Process","IDMIIS"
"Fuel Supply","Attribute","VAR_FOut"
"Fuel Supply","ProcessSet","IRE"
"Prices_All","Attribute","EQ_CombalM"
"Prices_CO2","Attribute","EQ_CombalM"
"Prices_CO2","CommoditySet","ENV"
"Prices_Energy","Attribute","EQ_CombalM"
"Prices_Energy","CommoditySet","NRG"
"Process Marginals","Attribute","VAR_NcapM"
"Process Marginals","Attribute","VAR_CapM"
"Process Marginals","Attribute","VAR_ActM"
"Process_Trade","Attribute","VAR_FOut"
"Process_Trade","Attribute","VAR_FIn"
"Process_Trade","ProcessSet","MIN"
"Process_Trade","ProcessSet","TRD_ENDO"
"Process_Trade","ProcessSet","IMP"
"Process_Trade","ProcessSet","EXP"
"Refinery","Attribute","VAR_FOut"
"Refinery","Attribute","VAR_FIn"
"Refinery","Process","REFEOIL00"
"Total CO2 Emissions","Attribute","VAR_FOut"
"Total CO2 Emissions","Commodity","TOTCO2"
"Total CO2 Emissions","CommoditySet","ENV"
"Trade_Endogenous-ELC","Attribute","VAR_FOut"
"Trade_Endogenous-ELC","Attribute","VAR_FIn"
"Trade_Endogenous-ELC","Process","TB_ELC_REG1_REG2_01"
"Trade_Endogenous-GAS","Attribute","VAR_FIn"
"Trade_Endogenous-GAS","Attribute","VAR_FOut"
"Trade_Endogenous-GAS","Process","TU_GAS_REG2_REG1_01"
